Data,PIB - IGP-DI- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
1996.07,611242.612956478,0.122651625411689,
1996.08,609445.801016693,0.122732488886163,
1996.09,583545.688680274,0.122945985878595,
1996.10,626346.09064958,0.123254700799579,
1996.11,648944.477814858,0.12396915722419,
1996.12,650783.446937439,0.125490438308353,
1997.01,612127.930498175,0.126742460414868,
1997.02,556358.572830206,0.127746391393686,
1997.03,546785.467265718,0.128865165989787,
1997.04,568428.51496447,0.129438263674367,
1997.05,600460.927037081,0.130084734048276,
1997.06,621790.769967906,0.130594412014497,
1997.07,628212.036100857,0.130622616703297,
1997.08,627068.918904974,0.130978426013244,
1997.09,623058.391917155,0.13158846917658,
1997.10,659546.4695044,0.132359437941647,
1997.11,640266.510443249,0.13336649443196,
1997.12,604229.39121806,0.134413852057537,
1998.01,587806.936060929,0.135016950517531,
1998.02,560909.006646103,0.135187880924584,
1998.03,595238.597268053,0.135254501924956,
1998.04,599820.538670143,0.13531730703979,
1998.05,628099.181976742,0.135659307391289,
1998.06,631029.71634293,0.135591712694401,
1998.07,642946.407862005,0.135218890621222,
1998.08,639378.757174067,0.135086283413207,
1998.09,627428.553845072,0.135048842582518,
1998.10,647149.274943923,0.134903651105172,
1998.11,637295.123804617,0.135441958954111,
1998.12,606725.355624184,0.136885329136374,
1999.01,575283.316555391,0.140689461471993,
1999.02,557403.285011949,0.145189492376718,
1999.03,605590.224602221,0.146638100141609,
1999.04,599282.383752462,0.146406773131915,
1999.05,607385.151307985,0.14689690686027,
1999.06,616521.625853501,0.148813757948859,
1999.07,603855.691236702,0.151079804867218,
1999.08,602031.061359401,0.153286775256449,
1999.09,581371.856075841,0.155858593863855,
1999.10,601817.410940677,0.159304796200804,
1999.11,613441.619205289,0.162302486305027,
1999.12,601783.766078528,0.164132875573634,
2000.01,560628.3096644,0.165130084236056,
2000.02,554699.567495033,0.165441628906303,
2000.03,558722.938259072,0.165699121443752,
2000.04,549262.874262365,0.166361507907692,
2000.05,588742.205759821,0.167691391977894,
2000.06,602759.572285676,0.170358804275169,
2000.07,594881.423469625,0.173833634603788,
2000.08,597566.278476024,0.176010266623872,
2000.09,566891.239516346,0.176943288249752,
2000.10,602145.453094461,0.177616719432775,
2000.11,602779.204144328,0.178635890653948,
2000.12,588874.354266281,0.17975243654801,
2001.01,568046.905672065,0.180496890267705,
2001.02,559891.093111347,0.181526909876717,
2001.03,590922.654215748,0.183279146987074,
2001.04,582369.113456876,0.184714466331267,
2001.05,596375.985129351,0.186463242606727,
2001.06,554327.763587364,0.18932733825348,
2001.07,577738.909139541,0.191710993059061,
2001.08,586001.897205511,0.192942549399884,
2001.09,558288.696633903,0.194703565835008,
2001.10,589974.796860379,0.196854171768095,
2001.11,596023.220574128,0.197780884923323,
2001.12,570385.381041532,0.198140947781007,
